,round,roster_id,player_id,picked_by,pick_no,metadata,is_keeper,draft_slot,draft_id
20,2,3,MIA,873775956610285568,21,"{'years_exp': '', 'team': 'MIA', 'status': '', 'sport': 'nfl', 'slot': '6', 'position': 'DEF', 'player_id': 'MIA', 'number': '', 'news_updated': '', 'last_name': 'Dolphins', 'injury_status': '', 'first_name': 'Miami', 'amount': '1'}",False,6,863992501013442560
21,2,3,LAC,873775956610285568,22,"{'years_exp': '', 'team': 'LAC', 'status': '', 'sport': 'nfl', 'slot': '6', 'position': 'DEF', 'player_id': 'LAC', 'number': '', 'news_updated': '', 'last_name': 'Chargers', 'injury_status': '', 'first_name': 'Los Angeles', 'amount': '1'}",False,6,863992501013442560
22,2,12,LV,860011165475012608,23,"{'years_exp': '', 'team': 'LV', 'status': '', 'sport': 'nfl', 'slot': '7', 'position': 'DEF', 'player_id': 'LV', 'number': '', 'news_updated': '', 'last_name': 'Raiders', 'injury_status': '', 'first_name': 'Las Vegas', 'amount': '1'}",False,7,863992501013442560
23,2,12,KC,860011165475012608,24,"{'years_exp': '', 'team': 'KC', 'status': '', 'sport': 'nfl', 'slot': '7', 'position': 'DEF', 'player_id': 'KC', 'number': '', 'news_updated': '', 'last_name': 'Chiefs', 'injury_status': '', 'first_name': 'Kansas City', 'amount': '1'}",False,7,863992501013442560
24,3,12,JAX,860011165475012608,25,"{'years_exp': '', 'team': 'JAX', 'status': '', 'sport': 'nfl', 'slot': '7', 'position': 'DEF', 'player_id': 'JAX', 'number': '', 'news_updated': '', 'last_name': 'Jaguars', 'injury_status': '', 'first_name': 'Jacksonville', 'amount': '1'}",False,7,863992501013442560
25,3,10,IND,860019033666338816,26,"{'years_exp': '', 'team': 'IND', 'status': '', 'sport': 'nfl', 'slot': '11', 'position': 'DEF', 'player_id': 'IND', 'number': '', 'news_updated': '', 'last_name': 'Colts', 'injury_status': '', 'first_name': 'Indianapolis', 'amount': '1'}",False,11,863992501013442560
26,3,4,HOU,741506726259523584,27,"{'years_exp': '', 'team': 'HOU', 'status': '', 'sport': 'nfl', 'slot': '8', 'position': 'DEF', 'player_id': 'HOU', 'number': '', 'news_updated': '', 'last_name': 'Texans', 'injury_status': '', 'first_name': 'Houston', 'amount': '1'}",False,8,863992501013442560
27,3,6,DEN,741517785796116480,28,"{'years_exp': '', 'team': 'DEN', 'status': '', 'sport': 'nfl', 'slot': '10', 'position': 'DEF', 'player_id': 'DEN', 'number': '', 'news_updated': '', 'last_name': 'Broncos', 'injury_status': '', 'first_name': 'Denver', 'amount': '1'}",False,10,863992501013442560
28,3,11,CLE,860010803301076992,29,"{'years_exp': '', 'team': 'CLE', 'status': '', 'sport': 'nfl', 'slot': '12', 'position': 'DEF', 'player_id': 'CLE', 'number': '', 'news_updated': '', 'last_name': 'Browns', 'injury_status': '', 'first_name': 'Cleveland', 'amount': '1'}",False,12,863992501013442560
29,3,10,CIN,860019033666338816,30,"{'years_exp': '', 'team': 'CIN', 'status': '', 'sport': 'nfl', 'slot': '11', 'position': 'DEF', 'player_id': 'CIN', 'number': '', 'news_updated': '', 'last_name': 'Bengals', 'injury_status': '', 'first_name': 'Cincinnati', 'amount': '1'}",False,11,863992501013442560
