player,playerId,position,salary,is_franchised,ir_value,unadjusted_salary
Tyler Lockett,2374,WR,15,,,
Tyreek Hill,3321,WR,12,,,
Tyrion Davis-Price,8211,RB,5,,,
Z White,8139,RB,5,,,
Zach Moss,6845,RB,5,,,
Zach Wilson,7538,QB,8,,,
Zack Ertz,1339,TE,11,,,
Jordan Love,6804,QB,5,,,
Trey McBride,8130,TE,5,,,
D'Ernest Johnson,6694,RB,5,,,
Khalil Herbert,7608,RB,5,,,
Isaiah Spiller,8153,RB,5,,,
Kadarius Toney,7606,WR,5,,,
Michael Pittman Jr.,6819,WR,12,,,
Julio Jones,947,WR,0,1,,$61 
Allen Robinson II,1992,WR,8,,,
DeVonta Smith,7525,WR,11,,,
Adam Thielen,1689,WR,11,,,
Pat Freiermuth,7600,TE,6,,,
Kenneth Walker,4634,RV,15,,,
Derek Carr,1718,QB,6,,,
Ezekiel Elliott,3164,RB,39,,,
Patrick Mahomes,4046,QB,9,,,
